N,uno_menos_inversa,cociente,cociente_denominador_entero,diferencia_absoluta
64,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.0
65,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.0
66,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.0
70,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.0
79,0.9875,0.9875,0.9875,0.0
89,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.0
100,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.0
112,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.0
125,0.9920634920634921,0.9920634920634921,0.9920634920634921,0.0
126,0.9921259842519685,0.9921259842519685,0.9921259842519685,0.0
127,0.9921875,0.9921875,0.9921875,0.0
128,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.0
129,0.9923076923076923,0.9923076923076923,0.9923076923076923,0.0
130,0.9923664122137404,0.9923664122137404,0.9923664122137404,0.0
141,0.9929577464788732,0.9929577464788732,0.9929577464788732,0.0
158,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.0
177,0.9943820224719101,0.9943820224719101,0.9943820224719101,0.0
199,0.995,0.995,0.995,0.0
223,0.9955357142857143,0.9955357142857143,0.9955357142857143,0.0
251,0.996031746031746,0.996031746031746,0.996031746031746,0.0
254,0.996078431372549,0.996078431372549,0.996078431372549,0.0
255,0.99609375,0.99609375,0.99609375,0.0
256,0.9961089494163424,0.9961089494163424,0.9961089494163424,0.0
257,0.9961240310077519,0.9961240310077519,0.9961240310077519,0.0
258,0.9961389961389961,0.9961389961389961,0.9961389961389961,0.0
281,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.0
316,0.9968454258675079,0.9968454258675079,0.9968454258675079,0.0
354,0.9971830985915493,0.9971830985915493,0.9971830985915493,0.0
398,0.9974937343358397,0.9974937343358395,0.9974937343358395,1.1102230246251565e-16
446,0.9977628635346756,0.9977628635346756,0.9977628635346756,0.0
501,0.99800796812749,0.99800796812749,0.99800796812749,0.0
510,0.9980430528375734,0.9980430528375733,0.9980430528375733,1.1102230246251565e-16
511,0.998046875,0.998046875,0.998046875,0.0
512,0.9980506822612085,0.9980506822612085,0.9980506822612085,0.0
513,0.9980544747081712,0.9980544747081712,0.9980544747081712,0.0
514,0.9980582524271845,0.9980582524271845,0.9980582524271845,0.0
562,0.9982238010657194,0.9982238010657194,0.9982238010657194,0.0
630,0.9984152139461173,0.9984152139461173,0.9984152139461173,0.0
707,0.998587570621469,0.998587570621469,0.998587570621469,0.0
794,0.9987421383647799,0.9987421383647799,0.9987421383647799,0.0
891,0.9988789237668162,0.9988789237668162,0.9988789237668162,0.0
1000,0.999000999000999,0.999000999000999,0.999000999000999,0.0
1022,0.9990224828934506,0.9990224828934506,0.9990224828934506,0.0
1023,0.9990234375,0.9990234375,0.9990234375,0.0
1024,0.9990243902439024,0.9990243902439024,0.9990243902439024,0.0
1025,0.9990253411306043,0.9990253411306043,0.9990253411306043,0.0
1026,0.9990262901655307,0.9990262901655307,0.9990262901655307,0.0
1122,0.9991095280498664,0.9991095280498664,0.9991095280498664,0.0
1258,0.9992057188244639,0.9992057188244639,0.9992057188244639,0.0
1412,0.9992922859164898,0.9992922859164898,0.9992922859164898,0.0
1584,0.9993690851735015,0.9993690851735015,0.9993690851735015,0.0
1778,0.9994378864530635,0.9994378864530635,0.9994378864530635,0.0
1995,0.999498997995992,0.999498997995992,0.999498997995992,0.0
2046,0.9995114802149487,0.9995114802149487,0.9995114802149487,0.0
2047,0.99951171875,0.99951171875,0.99951171875,0.0
2048,0.9995119570522206,0.9995119570522206,0.9995119570522206,0.0
2049,0.9995121951219512,0.9995121951219512,0.9995121951219512,0.0
2050,0.999512432959532,0.999512432959532,0.999512432959532,0.0
2238,0.9995533720410897,0.9995533720410897,0.9995533720410897,0.0
2511,0.9996019108280255,0.9996019108280255,0.9996019108280255,0.0
2818,0.9996452642781128,0.9996452642781128,0.9996452642781128,0.0
3162,0.9996838444514701,0.9996838444514701,0.9996838444514701,0.0
3548,0.9997182304874612,0.9997182304874612,0.9997182304874612,0.0
3981,0.9997488699146158,0.9997488699146158,0.9997488699146158,0.0
4094,0.9997557997557998,0.9997557997557998,0.9997557997557998,0.0
4095,0.999755859375,0.999755859375,0.999755859375,0.0
4096,0.9997559189650964,0.9997559189650964,0.9997559189650964,0.0
4097,0.9997559785261103,0.9997559785261103,0.9997559785261103,0.0
4098,0.9997560380580629,0.9997560380580629,0.9997560380580629,0.0
4466,0.9997761361092455,0.9997761361092455,0.9997761361092455,0.0
5011,0.9998004788507582,0.9998004788507582,0.9998004788507582,0.0
5623,0.9998221906116643,0.9998221906116643,0.9998221906116643,0.0
6309,0.9998415213946117,0.9998415213946117,0.9998415213946117,0.0
7079,0.9998587570621469,0.9998587570621469,0.9998587570621469,0.0
7943,0.9998741188318228,0.9998741188318228,0.9998741188318228,0.0
8190,0.9998779147845196,0.9998779147845196,0.9998779147845196,0.0
8191,0.9998779296875,0.9998779296875,0.9998779296875,0.0
8192,0.9998779445868424,0.9998779445868424,0.9998779445868424,0.0
8193,0.9998779594825482,0.9998779594825482,0.9998779594825482,0.0
8194,0.9998779743746187,0.9998779743746187,0.9998779743746187,0.0
8912,0.9998878043307529,0.9998878043307529,0.9998878043307529,0.0
10000,0.9999000099990001,0.9999000099990001,0.9999000099990001,0.0
11220,0.9999108813831209,0.9999108813831209,0.9999108813831209,0.0
12589,0.9999205718824464,0.9999205718824464,0.9999205718824464,0.0
14125,0.9999292085516069,0.9999292085516069,0.9999292085516069,0.0
15848,0.9999369045365638,0.9999369045365638,0.9999369045365638,0.0
16382,0.9999389611182323,0.9999389611182323,0.9999389611182323,0.0
16383,0.99993896484375,0.99993896484375,0.99993896484375,0.0
16384,0.9999389685688129,0.9999389685688129,0.9999389685688129,0.0
16385,0.9999389722934212,0.9999389722934212,0.9999389722934212,0.0
16386,0.9999389760175749,0.9999389760175749,0.9999389760175749,0.0
17782,0.9999437665185852,0.9999437665185852,0.9999437665185852,0.0
19952,0.9999498822232246,0.9999498822232246,0.9999498822232246,0.0
22387,0.9999553332142219,0.9999553332142219,0.9999553332142219,0.0
25118,0.9999601894979896,0.9999601894979896,0.9999601894979896,0.0
28183,0.9999645188759579,0.9999645188759579,0.9999645188759579,0.0
31622,0.999968377446795,0.999968377446795,0.999968377446795,0.0
32766,0.999969481490524,0.999969481490524,0.999969481490524,0.0
32767,0.999969482421875,0.999969482421875,0.999969482421875,0.0
32768,0.9999694833531692,0.9999694833531692,0.9999694833531692,0.0
32769,0.9999694842844065,0.9999694842844065,0.9999694842844065,0.0
32770,0.9999694852155869,0.9999694852155869,0.9999694852155869,0.0
35481,0.9999718166957894,0.9999718166957894,0.9999718166957894,0.0
39810,0.9999748813142096,0.9999748813142096,0.9999748813142096,0.0
44668,0.999977613109763,0.999977613109763,0.999977613109763,0.0
50118,0.999980047486981,0.999980047486981,0.999980047486981,0.0
56234,0.999982217480217,0.999982217480217,0.999982217480217,0.0
63095,0.9999841511347788,0.9999841511347788,0.9999841511347788,0.0
65534,0.9999847409781033,0.9999847409781033,0.9999847409781033,0.0
65535,0.9999847412109375,0.9999847412109375,0.9999847412109375,0.0
65536,0.9999847414437646,0.9999847414437646,0.9999847414437646,0.0
65537,0.9999847416765846,0.9999847416765846,0.9999847416765846,0.0
65538,0.9999847419093975,0.9999847419093975,0.9999847419093975,0.0
70794,0.9999858747086658,0.9999858747086658,0.9999858747086658,0.0
79432,0.9999874107738598,0.9999874107738598,0.9999874107738598,0.0
89125,0.9999887799295379,0.9999887799295379,0.9999887799295379,0.0
100000,0.999990000099999,0.999990000099999,0.999990000099999,0.0
112201,0.9999910875028966,0.9999910875028966,0.9999910875028966,0.0
125892,0.9999920567466023,0.9999920567466023,0.9999920567466023,0.0
131070,0.9999923705472606,0.9999923705472606,0.9999923705472606,0.0
131071,0.9999923706054688,0.9999923706054688,0.9999923706054688,0.0
131072,0.999992370663676,0.999992370663676,0.999992370663676,0.0
131073,0.9999923707218823,0.9999923707218823,0.9999923707218823,0.0
131074,0.9999923707800877,0.9999923707800877,0.9999923707800877,0.0
141253,0.9999929205544622,0.9999929205544622,0.9999929205544622,0.0
158489,0.9999936904536564,0.9999936904536564,0.9999936904536564,0.0
177827,0.9999943765886137,0.9999943765886137,0.9999943765886137,0.0
199526,0.9999949881469676,0.9999949881469676,0.9999949881469676,0.0
223872,0.9999955331817593,0.9999955331817593,0.9999955331817593,0.0
251188,0.9999960189339502,0.9999960189339502,0.9999960189339502,0.0
262142,0.9999961852881825,0.9999961852881823,0.9999961852881823,1.1102230246251565e-16
262143,0.9999961853027344,0.9999961853027344,0.9999961853027344,0.0
262144,0.9999961853172863,0.9999961853172863,0.9999961853172863,0.0
262145,0.999996185331838,0.999996185331838,0.999996185331838,0.0
262146,0.9999961853463897,0.9999961853463897,0.9999961853463897,0.0
281838,0.9999964518750066,0.9999964518750066,0.9999964518750066,0.0
316227,0.9999968377246796,0.9999968377246796,0.9999968377246796,0.0
354813,0.9999971816219202,0.9999971816219202,0.9999971816219202,0.0
398107,0.999997488118802,0.999997488118802,0.999997488118802,0.0
446683,0.9999977612809056,0.9999977612809056,0.9999977612809056,0.0
501187,0.999998004740736,0.999998004740736,0.999998004740736,0.0
524286,0.9999980926477292,0.9999980926477292,0.9999980926477292,0.0
524287,0.9999980926513672,0.9999980926513672,0.9999980926513672,0.0
524288,0.9999980926550052,0.9999980926550052,0.9999980926550052,0.0
524289,0.9999980926586431,0.9999980926586431,0.9999980926586431,0.0
524290,0.999998092662281,0.999998092662281,0.999998092662281,0.0
562341,0.9999982217227239,0.9999982217227239,0.9999982217227239,0.0
630957,0.9999984151084541,0.9999984151084541,0.9999984151084541,0.0
707945,0.9999985874628856,0.9999985874628856,0.9999985874628856,0.0
794328,0.9999987410758011,0.9999987410758011,0.9999987410758011,0.0
891250,0.9999988779816236,0.9999988779816236,0.9999988779816236,0.0
1000000,0.999999000001,0.999999000001,0.999999000001,0.0
1048574,0.9999990463247741,0.9999990463247741,0.9999990463247741,0.0
1048575,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.0
1048576,0.9999990463265931,0.9999990463265931,0.9999990463265931,0.0
1048577,0.9999990463275026,0.9999990463275026,0.9999990463275026,0.0
1048578,0.9999990463284121,0.9999990463284121,0.9999990463284121,0.0
1122018,0.9999991087494954,0.9999991087494954,0.9999991087494954,0.0
1258925,0.9999992056721364,0.9999992056721364,0.9999992056721364,0.0
1412537,0.9999992920544438,0.9999992920544438,0.9999992920544438,0.0
1584893,0.999999369042977,0.999999369042977,0.999999369042977,0.0
1778279,0.9999994376588613,0.9999994376588613,0.9999994376588613,0.0
1995262,0.9999994988129385,0.9999994988129385,0.9999994988129385,0.0
2097150,0.9999995231626144,0.9999995231626144,0.9999995231626144,0.0
2097151,0.9999995231628418,0.9999995231628418,0.9999995231628418,0.0
2097152,0.9999995231630692,0.9999995231630692,0.9999995231630692,0.0
2097153,0.9999995231632965,0.9999995231632965,0.9999995231632965,0.0
2097154,0.9999995231635239,0.9999995231635239,0.9999995231635239,0.0
2238721,0.9999995533165797,0.9999995533165797,0.9999995533165797,0.0
2511886,0.9999996018929196,0.9999996018929196,0.9999996018929196,0.0
2818382,0.9999996451866194,0.9999996451866194,0.9999996451866194,0.0
3162277,0.999999683772268,0.999999683772268,0.999999683772268,0.0
3548133,0.9999997181617154,0.9999997181617154,0.9999997181617154,0.0
3981071,0.9999997488113754,0.9999997488113754,0.9999997488113754,0.0
4194302,0.999999761581364,0.999999761581364,0.999999761581364,0.0
4194303,0.9999997615814209,0.9999997615814209,0.9999997615814209,0.0
4194304,0.9999997615814777,0.9999997615814777,0.9999997615814777,0.0
4194305,0.9999997615815346,0.9999997615815346,0.9999997615815346,0.0
4194306,0.9999997615815914,0.9999997615815914,0.9999997615815914,0.0
4466835,0.99999977612789,0.99999977612789,0.99999977612789,0.0
5011872,0.9999998004737949,0.9999998004737949,0.9999998004737949,0.0
5623413,0.9999998221720826,0.9999998221720826,0.9999998221720826,0.0
6309573,0.9999998415106947,0.9999998415106947,0.9999998415106947,0.0
7079457,0.9999998587462486,0.9999998587462486,0.9999998587462486,0.0
7943282,0.9999998741074692,0.9999998741074692,0.9999998741074692,0.0
8388606,0.9999998807906962,0.9999998807906962,0.9999998807906962,0.0
8388607,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0
8388608,0.9999998807907247,0.9999998807907247,0.9999998807907247,0.0
8388609,0.9999998807907389,0.9999998807907389,0.9999998807907389,0.0
8388610,0.9999998807907531,0.9999998807907531,0.9999998807907531,0.0
8912509,0.9999998877981624,0.9999998877981624,0.9999998877981624,0.0
10000000,0.99999990000001,0.99999990000001,0.99999990000001,0.0
11220184,0.9999999108749098,0.9999999108749098,0.9999999108749098,0.0
12589254,0.9999999205671821,0.9999999205671821,0.9999999205671821,0.0
14125375,0.9999999292054244,0.9999999292054244,0.9999999292054244,0.0
15848931,0.9999999369042658,0.9999999369042658,0.9999999369042658,0.0
16777214,0.9999999403953517,0.9999999403953517,0.9999999403953517,0.0
16777215,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.0
16777216,0.9999999403953588,0.9999999403953588,0.9999999403953588,0.0
16777217,0.9999999403953623,0.9999999403953623,0.9999999403953623,0.0
16777218,0.9999999403953659,0.9999999403953659,0.9999999403953659,0.0
17782794,0.9999999437658703,0.9999999437658703,0.9999999437658703,0.0
19952623,0.9999999498812788,0.9999999498812788,0.9999999498812788,0.0
22387211,0.999999955331642,0.999999955331642,0.999999955331642,0.0
25118864,0.999999960189284,0.999999960189284,0.999999960189284,0.0
28183829,0.9999999645186619,0.9999999645186619,0.9999999645186619,0.0
31622776,0.9999999683772238,0.9999999683772238,0.9999999683772238,0.0
33554430,0.9999999701976767,0.9999999701976767,0.9999999701976767,0.0
33554431,0.9999999701976776,0.9999999701976776,0.9999999701976776,0.0
33554432,0.9999999701976785,0.9999999701976785,0.9999999701976785,0.0
33554433,0.9999999701976794,0.9999999701976794,0.9999999701976794,0.0
33554434,0.9999999701976803,0.9999999701976803,0.9999999701976803,0.0
35481338,0.9999999718161707,0.9999999718161707,0.9999999718161707,0.0
39810717,0.9999999748811362,0.9999999748811362,0.9999999748811362,0.0
44668359,0.999999977612789,0.999999977612789,0.999999977612789,0.0
50118723,0.9999999800473771,0.9999999800473771,0.9999999800473771,0.0
56234132,0.9999999822172061,0.9999999822172061,0.9999999822172061,0.0
63095734,0.9999999841510682,0.9999999841510682,0.9999999841510682,0.0
67108862,0.9999999850988386,0.9999999850988386,0.9999999850988386,0.0
67108863,0.9999999850988388,0.9999999850988388,0.9999999850988388,0.0
67108864,0.999999985098839,0.999999985098839,0.999999985098839,0.0
67108865,0.9999999850988393,0.9999999850988393,0.9999999850988393,0.0
67108866,0.9999999850988395,0.9999999850988395,0.9999999850988395,0.0
70794578,0.9999999858746247,0.9999999858746247,0.9999999858746247,0.0
79432823,0.9999999874107459,0.9999999874107459,0.9999999874107459,0.0
89125093,0.9999999887798154,0.9999999887798154,0.9999999887798154,0.0
100000000,0.9999999900000001,0.9999999900000001,0.9999999900000001,0.0
112201845,0.9999999910874907,0.9999999910874907,0.9999999910874907,0.0
125892541,0.9999999920567177,0.9999999920567177,0.9999999920567177,0.0
134217726,0.9999999925494194,0.9999999925494193,0.9999999925494193,1.1102230246251565e-16
134217727,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.0
134217728,0.9999999925494194,0.9999999925494194,0.9999999925494194,0.0
134217729,0.9999999925494195,0.9999999925494195,0.9999999925494195,0.0
134217730,0.9999999925494195,0.9999999925494195,0.9999999925494195,0.0
141253754,0.9999999929205422,0.9999999929205422,0.9999999929205422,0.0
158489319,0.9999999936904266,0.9999999936904266,0.9999999936904266,0.0
177827941,0.9999999943765868,0.9999999943765868,0.9999999943765868,0.0
199526231,0.9999999949881276,0.9999999949881276,0.9999999949881276,0.0
223872113,0.9999999955331641,0.9999999955331641,0.9999999955331641,0.0
251188643,0.9999999960189283,0.9999999960189283,0.9999999960189283,0.0
268435454,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.0
268435455,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.0
268435456,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.0
268435457,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.0
268435458,0.9999999962747097,0.9999999962747097,0.9999999962747097,0.0
281838293,0.9999999964518661,0.9999999964518661,0.9999999964518661,0.0
316227766,0.9999999968377223,0.9999999968377223,0.9999999968377223,0.0
354813389,0.999999997181617,0.999999997181617,0.999999997181617,0.0
398107170,0.9999999974881135,0.9999999974881135,0.9999999974881135,0.0
446683592,0.9999999977612789,0.9999999977612789,0.9999999977612789,0.0
501187233,0.9999999980047377,0.9999999980047377,0.9999999980047377,0.0
536870910,0.9999999981373549,0.9999999981373549,0.9999999981373549,0.0
536870911,0.9999999981373549,0.9999999981373549,0.9999999981373549,0.0
536870912,0.9999999981373549,0.9999999981373549,0.9999999981373549,0.0
536870913,0.9999999981373549,0.9999999981373549,0.9999999981373549,0.0
536870914,0.9999999981373549,0.9999999981373549,0.9999999981373549,0.0
562341325,0.9999999982217206,0.9999999982217206,0.9999999982217206,0.0
630957344,0.9999999984151068,0.9999999984151068,0.9999999984151068,0.0
707945784,0.9999999985874625,0.9999999985874625,0.9999999985874625,0.0
794328234,0.9999999987410746,0.9999999987410746,0.9999999987410746,0.0
891250938,0.9999999988779815,0.9999999988779815,0.9999999988779815,0.0
1000000000,0.999999999,0.999999999,0.999999999,0.0
1073741822,0.9999999990686774,0.9999999990686774,0.9999999990686774,0.0
1073741823,0.9999999990686774,0.9999999990686774,0.9999999990686774,0.0
1073741824,0.9999999990686774,0.9999999990686774,0.9999999990686774,0.0
1073741825,0.9999999990686774,0.9999999990686774,0.9999999990686774,0.0
1073741826,0.9999999990686774,0.9999999990686774,0.9999999990686774,0.0
1122018454,0.999999999108749,0.999999999108749,0.999999999108749,0.0
1258925411,0.9999999992056717,0.9999999992056717,0.9999999992056717,0.0
1412537544,0.9999999992920542,0.9999999992920542,0.9999999992920542,0.0
1584893192,0.9999999993690426,0.9999999993690426,0.9999999993690426,0.0
1778279410,0.9999999994376587,0.9999999994376587,0.9999999994376587,0.0
1995262314,0.9999999994988128,0.9999999994988128,0.9999999994988128,0.0
2147483646,0.9999999995343387,0.9999999995343387,0.9999999995343387,0.0
2147483647,0.9999999995343387,0.9999999995343387,0.9999999995343387,0.0
2147483648,0.9999999995343387,0.9999999995343387,0.9999999995343387,0.0
2147483649,0.9999999995343387,0.9999999995343387,0.9999999995343387,0.0
2147483650,0.9999999995343387,0.9999999995343387,0.9999999995343387,0.0
2238721138,0.9999999995533164,0.9999999995533164,0.9999999995533164,0.0
2511886431,0.9999999996018928,0.9999999996018928,0.9999999996018928,0.0
2818382931,0.9999999996451866,0.9999999996451866,0.9999999996451866,0.0
3162277660,0.9999999996837723,0.9999999996837723,0.9999999996837723,0.0
3548133892,0.9999999997181617,0.9999999997181617,0.9999999997181617,0.0
3981071705,0.9999999997488114,0.9999999997488114,0.9999999997488114,0.0
4294967294,0.9999999997671694,0.9999999997671694,0.9999999997671694,0.0
4294967295,0.9999999997671694,0.9999999997671694,0.9999999997671694,0.0
4294967296,0.9999999997671694,0.9999999997671694,0.9999999997671694,0.0
4294967297,0.9999999997671694,0.9999999997671694,0.9999999997671694,0.0
4294967298,0.9999999997671694,0.9999999997671694,0.9999999997671694,0.0
4466835921,0.9999999997761279,0.9999999997761279,0.9999999997761279,0.0
5011872336,0.9999999998004737,0.9999999998004737,0.9999999998004737,0.0
5623413251,0.999999999822172,0.999999999822172,0.999999999822172,0.0
6309573444,0.9999999998415107,0.9999999998415107,0.9999999998415107,0.0
7079457843,0.9999999998587462,0.9999999998587462,0.9999999998587462,0.0
7943282347,0.9999999998741075,0.9999999998741075,0.9999999998741075,0.0
8589934590,0.9999999998835847,0.9999999998835847,0.9999999998835847,0.0
8589934591,0.9999999998835847,0.9999999998835847,0.9999999998835847,0.0
8589934592,0.9999999998835847,0.9999999998835847,0.9999999998835847,0.0
8589934593,0.9999999998835847,0.9999999998835847,0.9999999998835847,0.0
8589934594,0.9999999998835847,0.9999999998835847,0.9999999998835847,0.0
8912509381,0.9999999998877982,0.9999999998877982,0.9999999998877982,0.0
10000000000,0.9999999999,0.9999999999,0.9999999999,0.0
11220184543,0.999999999910875,0.999999999910875,0.999999999910875,0.0
12589254117,0.9999999999205672,0.9999999999205672,0.9999999999205672,0.0
14125375446,0.9999999999292054,0.9999999999292054,0.9999999999292054,0.0
15848931924,0.9999999999369042,0.9999999999369042,0.9999999999369042,0.0
17179869182,0.9999999999417923,0.9999999999417923,0.9999999999417923,0.0
17179869183,0.9999999999417923,0.9999999999417923,0.9999999999417923,0.0
17179869184,0.9999999999417923,0.9999999999417923,0.9999999999417923,0.0
17179869185,0.9999999999417923,0.9999999999417923,0.9999999999417923,0.0
17179869186,0.9999999999417923,0.9999999999417923,0.9999999999417923,0.0
17782794100,0.9999999999437659,0.9999999999437659,0.9999999999437659,0.0
19952623149,0.9999999999498813,0.9999999999498813,0.9999999999498813,0.0
22387211385,0.9999999999553316,0.9999999999553316,0.9999999999553316,0.0
25118864315,0.9999999999601893,0.9999999999601893,0.9999999999601893,0.0
28183829312,0.9999999999645187,0.9999999999645187,0.9999999999645187,0.0
31622776601,0.9999999999683772,0.9999999999683772,0.9999999999683772,0.0
34359738366,0.9999999999708962,0.9999999999708962,0.9999999999708962,0.0
34359738367,0.9999999999708962,0.9999999999708962,0.9999999999708962,0.0
34359738368,0.9999999999708962,0.9999999999708962,0.9999999999708962,0.0
34359738369,0.9999999999708962,0.9999999999708962,0.9999999999708962,0.0
34359738370,0.9999999999708962,0.9999999999708962,0.9999999999708962,0.0
35481338923,0.9999999999718162,0.9999999999718162,0.9999999999718162,0.0
39810717055,0.9999999999748811,0.9999999999748811,0.9999999999748811,0.0
44668359215,0.9999999999776128,0.9999999999776128,0.9999999999776128,0.0
50118723362,0.9999999999800474,0.9999999999800474,0.9999999999800474,0.0
56234132519,0.9999999999822172,0.9999999999822172,0.9999999999822172,0.0
63095734448,0.9999999999841511,0.9999999999841511,0.9999999999841511,0.0
68719476734,0.9999999999854481,0.9999999999854481,0.9999999999854481,0.0
68719476735,0.9999999999854481,0.9999999999854481,0.9999999999854481,0.0
68719476736,0.9999999999854481,0.9999999999854481,0.9999999999854481,0.0
68719476737,0.9999999999854481,0.9999999999854481,0.9999999999854481,0.0
68719476738,0.9999999999854481,0.9999999999854481,0.9999999999854481,0.0
70794578438,0.9999999999858746,0.9999999999858746,0.9999999999858746,0.0
79432823472,0.9999999999874107,0.9999999999874107,0.9999999999874107,0.0
89125093813,0.9999999999887799,0.9999999999887799,0.9999999999887799,0.0
100000000000,0.99999999999,0.99999999999,0.99999999999,0.0
112201845430,0.9999999999910875,0.9999999999910875,0.9999999999910875,0.0
125892541179,0.9999999999920567,0.9999999999920567,0.9999999999920567,0.0
137438953470,0.999999999992724,0.999999999992724,0.999999999992724,0.0
137438953471,0.999999999992724,0.999999999992724,0.999999999992724,0.0
137438953472,0.999999999992724,0.999999999992724,0.999999999992724,0.0
137438953473,0.999999999992724,0.999999999992724,0.999999999992724,0.0
137438953474,0.999999999992724,0.999999999992724,0.999999999992724,0.0
141253754462,0.9999999999929206,0.9999999999929206,0.9999999999929206,0.0
158489319246,0.9999999999936904,0.9999999999936904,0.9999999999936904,0.0
177827941003,0.9999999999943766,0.9999999999943766,0.9999999999943766,0.0
199526231496,0.9999999999949881,0.9999999999949881,0.9999999999949881,0.0
223872113856,0.9999999999955331,0.9999999999955331,0.9999999999955331,0.0
251188643150,0.999999999996019,0.999999999996019,0.999999999996019,0.0
274877906942,0.999999999996362,0.999999999996362,0.999999999996362,0.0
274877906943,0.999999999996362,0.999999999996362,0.999999999996362,0.0
274877906944,0.999999999996362,0.999999999996362,0.999999999996362,0.0
274877906945,0.999999999996362,0.999999999996362,0.999999999996362,0.0
274877906946,0.999999999996362,0.999999999996362,0.999999999996362,0.0
281838293126,0.9999999999964518,0.9999999999964518,0.9999999999964518,0.0
316227766016,0.9999999999968378,0.9999999999968378,0.9999999999968378,0.0
354813389233,0.9999999999971816,0.9999999999971816,0.9999999999971816,0.0
398107170553,0.9999999999974881,0.9999999999974881,0.9999999999974881,0.0
446683592150,0.9999999999977612,0.9999999999977612,0.9999999999977612,0.0
501187233627,0.9999999999980047,0.9999999999980047,0.9999999999980047,0.0
549755813886,0.999999999998181,0.999999999998181,0.999999999998181,0.0
549755813887,0.999999999998181,0.999999999998181,0.999999999998181,0.0
549755813888,0.999999999998181,0.999999999998181,0.999999999998181,0.0
549755813889,0.999999999998181,0.999999999998181,0.999999999998181,0.0
549755813890,0.999999999998181,0.999999999998181,0.999999999998181,0.0
562341325190,0.9999999999982218,0.9999999999982218,0.9999999999982218,0.0
630957344480,0.9999999999984152,0.9999999999984152,0.9999999999984152,0.0
707945784384,0.9999999999985875,0.9999999999985875,0.9999999999985875,0.0
794328234724,0.9999999999987411,0.9999999999987411,0.9999999999987411,0.0
891250938133,0.999999999998878,0.999999999998878,0.999999999998878,0.0
1000000000000,0.999999999999,0.999999999999,0.999999999999,0.0
1099511627774,0.9999999999990905,0.9999999999990905,0.9999999999990905,0.0
1099511627775,0.9999999999990905,0.9999999999990905,0.9999999999990905,0.0
1099511627776,0.9999999999990905,0.9999999999990905,0.9999999999990905,0.0
1099511627777,0.9999999999990905,0.9999999999990905,0.9999999999990905,0.0
1099511627778,0.9999999999990905,0.9999999999990905,0.9999999999990905,0.0
1122018454301,0.9999999999991087,0.9999999999991087,0.9999999999991087,0.0
